solver_name,lcar,n_nodes,n_cells,n_runs,cpu/gpu,t[s]
spsolve,0.5,29,38,20,cpu,0.0001
bicg,0.5,29,38,20,cpu,0.0017
bicgstab,0.5,29,38,20,cpu,0.0012
cg,0.5,29,38,20,cpu,0.0010
cgs,0.5,29,38,20,cpu,0.0013
gmres,0.5,29,38,20,cpu,0.0013
lgmres,0.5,29,38,20,cpu,0.0030
minres,0.5,29,38,20,cpu,0.0013
qmr,0.5,29,38,20,cpu,0.0019
gcrotmk,0.5,29,38,20,cpu,0.0021
tfqmr,0.5,29,38,20,cpu,0.0018
spsolve,0.1,428,776,20,cpu,0.0017
bicg,0.1,428,776,20,cpu,0.0084
bicgstab,0.1,428,776,20,cpu,0.0060
cg,0.1,428,776,20,cpu,0.0046
cgs,0.1,428,776,20,cpu,0.0065
gmres,0.1,428,776,20,cpu,0.0110
lgmres,0.1,428,776,20,cpu,0.0112
minres,0.1,428,776,20,cpu,0.0033
qmr,0.1,428,776,20,cpu,0.0095
gcrotmk,0.1,428,776,20,cpu,0.0097
tfqmr,0.1,428,776,20,cpu,0.0095
spsolve,0.05,1604,3052,20,cpu,0.0110
bicg,0.05,1604,3052,20,cpu,0.0299
bicgstab,0.05,1604,3052,20,cpu,0.0213
cg,0.05,1604,3052,20,cpu,0.0149
cgs,0.05,1604,3052,20,cpu,0.0291
gmres,0.05,1604,3052,20,cpu,0.0671
lgmres,0.05,1604,3052,20,cpu,0.0264
minres,0.05,1604,3052,20,cpu,0.0063
qmr,0.05,1604,3052,20,cpu,0.0313
gcrotmk,0.05,1604,3052,20,cpu,0.0286
tfqmr,0.05,1604,3052,20,cpu,0.0382
spsolve,0.01,37836,74910,20,cpu,1.2001
bicg,0.01,37836,74910,20,cpu,8.0172
bicgstab,0.01,37836,74910,20,cpu,3.3653
cg,0.01,37836,74910,20,cpu,2.5096
cgs,0.01,37836,74910,20,cpu,966.1039
gmres,0.01,37836,74910,20,cpu,28.4565
lgmres,0.01,37836,74910,20,cpu,1.6956
minres,0.01,37836,74910,20,cpu,0.1698
qmr,0.01,37836,74910,20,cpu,5.0055
gcrotmk,0.01,37836,74910,20,cpu,1.9213
tfqmr,0.01,37836,74910,20,cpu,13.5836
